base1,quote1,base2,quote2,base3,quote3,symbol1,symbol2,symbol3
0G,USDC,USDC,USDT,0G,USDT,0GUSDC,USDCUSDT,0GUSDT
1DOLLAR,USDC,USDC,USDT,1DOLLAR,USDT,1DOLLARUSDC,USDCUSDT,1DOLLARUSDT
1INCH,USDC,USDC,USDT,1INCH,USDT,1INCHUSDC,USDCUSDT,1INCHUSDT
A,BTC,BTC,USDC,A,USDC,ABTC,BTCUSDC,AUSDC
A,BTC,BTC,USDT,A,USDT,ABTC,BTCUSDT,AUSDT
A,USDC,USDC,USDT,A,USDT,AUSDC,USDCUSDT,AUSDT
AAVE,USDC,USDC,USDT,AAVE,USDT,AAVEUSDC,USDCUSDT,AAVEUSDT
ACH,USDC,USDC,USDT,ACH,USDT,ACHUSDC,USDCUSDT,ACHUSDT
ACT,USDC,USDC,USDT,ACT,USDT,ACTUSDC,USDCUSDT,ACTUSDT
ADA,BTC,BTC,EUR,ADA,EUR,ADABTC,BTCEUR,ADAEUR
ADA,BTC,BTC,USDC,ADA,USDC,ADABTC,BTCUSDC,ADAUSDC
ADA,BTC,BTC,USDT,ADA,USDT,ADABTC,BTCUSDT,ADAUSDT
ADA,EUR,EUR,USDT,ADA,USDT,ADAEUR,EURUSDT,ADAUSDT
ADA,USDC,USDC,EUR,ADA,EUR,ADAUSDC,USDCEUR,ADAEUR
ADA,USDC,USDC,USDT,ADA,USDT,ADAUSDC,USDCUSDT,ADAUSDT
AERGO,USDC,USDC,USDT,AERGO,USDT,AERGOUSDC,USDCUSDT,AERGOUSDT
AEVO,USDC,USDC,USDT,AEVO,USDT,AEVOUSDC,USDCUSDT,AEVOUSDT
AGT,USDC,USDC,USDT,AGT,USDT,AGTUSDC,USDCUSDT,AGTUSDT
AIOT,USDC,USDC,USDT,AIOT,USDT,AIOTUSDC,USDCUSDT,AIOTUSDT
AIXBT,USDC,USDC,USDT,AIXBT,USDT,AIXBTUSDC,USDCUSDT,AIXBTUSDT
ALCH,USDC,USDC,USDT,ALCH,USDT,ALCHUSDC,USDCUSDT,ALCHUSDT
ALGO,USDC,USDC,USDT,ALGO,USDT,ALGOUSDC,USDCUSDT,ALGOUSDT
ALLO,USDC,USDC,USDT,ALLO,USDT,ALLOUSDC,USDCUSDT,ALLOUSDT
ANKR,BTC,BTC,USDT,ANKR,USDT,ANKRBTC,BTCUSDT,ANKRUSDT
