base1,quote1,symbol1,step1,minQty1,minNotional1,spot1,market1,qoq1,quotePrec1,base2,quote2,symbol2,step2,minQty2,minNotional2,spot2,market2,qoq2,quotePrec2,base3,quote3,symbol3,step3,minQty3,minNotional3,spot3,market3,qoq3,quotePrec3,cycle_leg1,cycle_leg2,cycle_leg3,min_start_usdt,trade_amount_ok,reason
AIXBT,USDC,AIXBTUSDC,0,0.000000000000,0.000000000000,1,1,0,5,USDC,USDT,USDCUSDT,0,0.000000000000,0.000000000000,1,1,0,4,AIXBT,USDT,AIXBTUSDT,0,0.000000000000,0.000000000000,1,1,0,5,AIXBTUSDT:BUY USDT→AIXBT,AIXBTUSDC:SELL AIXBT→USDC,USDCUSDT:SELL USDC→USDT,0.000000,1,ok
BABYDOGE,USDC,BABYDOGEUSDC,0,0.000000000000,0.000000000000,1,1,0,13,USDC,USDT,USDCUSDT,0,0.000000000000,0.000000000000,1,1,0,4,BABYDOGE,USDT,BABYDOGEUSDT,0,0.000000000000,0.000000000000,1,1,0,13,BABYDOGEUSDT:BUY USDT→BABYDOGE,BABYDOGEUSDC:SELL BABYDOGE→USDC,USDCUSDT:SELL USDC→USDT,0.000000,1,ok
BUTTHOLE,USDC,BUTTHOLEUSDC,0,0.000000000000,0.000000000000,1,1,0,7,USDC,USDT,USDCUSDT,0,0.000000000000,0.000000000000,1,1,0,4,BUTTHOLE,USDT,BUTTHOLEUSDT,0,0.000000000000,0.000000000000,1,1,0,7,BUTTHOLEUSDT:BUY USDT→BUTTHOLE,BUTTHOLEUSDC:SELL BUTTHOLE→USDC,USDCUSDT:SELL USDC→USDT,0.000000,1,ok
CGPT,USDC,CGPTUSDC,0,0.000000000000,0.000000000000,1,1,0,5,USDC,USDT,USDCUSDT,0,0.000000000000,0.000000000000,1,1,0,4,CGPT,USDT,CGPTUSDT,0,0.000000000000,0.000000000000,1,1,0,6,CGPTUSDT:BUY USDT→CGPT,CGPTUSDC:SELL CGPT→USDC,USDCUSDT:SELL USDC→USDT,0.000000,1,ok
CHZ,USDC,CHZUSDC,0,0.000000000000,0.000000000000,1,1,0,5,USDC,USDT,USDCUSDT,0,0.000000000000,0.000000000000,1,1,0,4,CHZ,USDT,CHZUSDT,0,0.000000000000,0.000000000000,1,1,0,5,CHZUSDT:BUY USDT→CHZ,CHZUSDC:SELL CHZ→USDC,USDCUSDT:SELL USDC→USDT,0.000000,1,ok
DSYNC,USDC,DSYNCUSDC,0,0.000000000000,0.000000000000,1,1,0,5,USDC,USDT,USDCUSDT,0,0.000000000000,0.000000000000,1,1,0,4,DSYNC,USDT,DSYNCUSDT,0,0.000000000000,0.000000000000,1,1,0,5,DSYNCUSDT:BUY USDT→DSYNC,DSYNCUSDC:SELL DSYNC→USDC,USDCUSDT:SELL USDC→USDT,0.000000,1,ok
ENA,USDC,ENAUSDC,0,0.000000000000,0.000000000000,1,1,0,4,USDC,USDT,USDCUSDT,0,0.000000000000,0.000000000000,1,1,0,4,ENA,USDT,ENAUSDT,0,0.000000000000,0.000000000000,1,1,0,4,ENAUSDT:BUY USDT→ENA,ENAUSDC:SELL ENA→USDC,USDCUSDT:SELL USDC→USDT,0.000000,1,ok
FARTCOIN,USDC,FARTCOINUSDC,0,0.000000000000,0.000000000000,1,1,0,4,USDC,USDT,USDCUSDT,0,0.000000000000,0.000000000000,1,1,0,4,FARTCOIN,USDT,FARTCOINUSDT,0,0.000000000000,0.000000000000,1,1,0,5,FARTCOINUSDT:BUY USDT→FARTCOIN,FARTCOINUSDC:SELL FARTCOIN→USDC,USDCUSDT:SELL USDC→USDT,0.000000,1,ok
FET,USDC,FETUSDC,0,0.000000000000,0.000000000000,1,1,0,4,USDC,USDT,USDCUSDT,0,0.000000000000,0.000000000000,1,1,0,4,FET,USDT,FETUSDT,0,0.000000000000,0.000000000000,1,1,0,4,FETUSDT:BUY USDT→FET,FETUSDC:SELL FET→USDC,USDCUSDT:SELL USDC→USDT,0.000000,1,ok
HBAR,USDC,HBARUSDC,0,0.000000000000,0.000000000000,1,1,0,4,USDC,USDT,USDCUSDT,0,0.000000000000,0.000000000000,1,1,0,4,HBAR,USDT,HBARUSDT,0,0.000000000000,0.000000000000,1,1,0,5,HBARUSDT:BUY USDT→HBAR,HBARUSDC:SELL HBAR→USDC,USDCUSDT:SELL USDC→USDT,0.000000,1,ok
